row_number,employee_id,email,password,name,dob,gender,location,job_role,salary,dependents,lifestyle_tags,recommended_plan_type,coverage_level,premium_usd,employer_contrib_usd
18,E8206,williamrodriguez@example.net,eTsprvu5If,,1993-03-09,M,"Philadelphia, PA",UX Designer,,3.0,"family,wellness",Health,,,186.5
19,E7865,nathanielmartin@example.net,IVVIZM5oFo,Linda Burns,,F,"Hartford, CT",Marketing Associate,85780.0,3.0,,,,,
20,E7211,hickmannatasha@example.com,rW81Aq1fEb,David Bradley,1989-03-02,,"Philadelphia, PA",,47033.0,1.0,,,Bronze,88.85,
21,E2876,millertodd@example.org,X0k9tgLb7t,Kim Martinez,1996-06-01,,"Chicago, IL",,90691.0,0.0,"family,wellness",Vision,,,
22,E8102,karroyo@example.com,9xO51DTjBl,Lisa Brandt,2002-08-03,Non-Binary,"Hartford, CT",Project Coordinator,66122.0,,,Life,,,
23,E5232,jenniferross@example.net,vr4MS4rJaH,Jessica Holmes,,F,"Fort Wayne, IN",Project Coordinator,74371.0,,"travel,adventure",Vision,,,
24,E8434,wrightcaleb@example.org,rtqohUmuhV,Crystal Robinson,2005-02-03,,,Financial Advisor,79382.0,0.0,,,,293.06,
25,E9042,zimmermanbrian@example.org,g3aKsEECvl,Shannon Jones,1993-08-30,,"Philadelphia, PA",Data Analyst,,1.0,,,Platinum,,
26,E8253,joshuawashington@example.net,t3LBtKNdN9,Timothy Duncan,,,,Software Engineer,,3.0,,,Gold,152.59,373.37
27,E4241,esanchez@example.com,BhIoPj6r0j,,1991-09-21,Non-Binary,"Chicago, IL",,,3.0,"family,wellness",,Bronze,228.32,
28,E1339,ujenkins@example.org,WR0rKcWWlE,Victoria Garcia,1997-12-01,M,"Hartford, CT",Marketing Associate,,2.0,"active,fitness",,,285.2,
29,E6153,zchandler@example.org,quhXz3G0aQ,Connor West,1998-05-12,M,"Chicago, IL",Project Coordinator,,1.0,"travel,adventure",,Silver,,
30,E2858,dwhite@example.org,D8hP1jF7Ts,Angela Morton,1994-02-17,F,"Fort Wayne, IN",Software Engineer,84280.0,1.0,"remote,eco",,Gold,,255.43
31,E9022,williamsyvette@example.org,3jCIEwvJWI,Tammy Allison,1995-03-21,,,,93804.0,3.0,"tech,gadget",,,,85.13
32,E2633,richardolson@example.com,H6DaUjA3Pj,,2005-07-12,F,"Hartford, CT",UX Designer,,2.0,"travel,adventure",Health,Silver,278.65,
33,E2612,ybaker@example.com,WOT3gCkSt5,,1995-04-11,F,,Financial Advisor,89682.0,,"family,wellness",Disability,Platinum,,
34,E1153,smoore@example.org,5ZD5sRIkeC,Lauren Daniels,2001-03-06,F,"Hartford, CT",Software Engineer,,3.0,,,,182.8,
35,E9138,brian97@example.net,155sXZoMZw,,1992-04-06,Non-Binary,"Fort Wayne, IN",Project Coordinator,65246.0,0.0,,,,65.68,390.02
36,E5465,yorkcasey@example.org,1kq608E9Zs,Cynthia Wilson,1995-08-06,F,"Fort Wayne, IN",Software Engineer,92462.0,3.0,"family,wellness",,,211.66,254.6
37,E7086,bethwilliams@example.org,gRoEbN48Ju,Kevin Mills,1992-12-18,Non-Binary,"Omaha, NE",,,,"mental_health,yoga",,Gold,230.65,196.69
38,E3531,james53@example.com,4APg1FNA88,Michael Evans,2003-06-25,F,"Fort Wayne, IN",Data Analyst,69073.0,,,Health,,87.27,
39,E6464,sarah10@example.com,piYKne1WJn,Kristine Garcia,1993-03-23,M,,Software Engineer,,,,Vision,Silver,,
40,E2862,williamanderson@example.com,VeECXxGLgC,Sherry Wood,,Non-Binary,"Hartford, CT",,76390.0,3.0,"travel,adventure",,,,268.51
41,E6327,samueldaniels@example.com,yMHsDGMBgY,Victoria Valdez,2002-09-07,Non-Binary,"Fort Wayne, IN",Software Engineer,,0.0,"remote,eco",Vision,,,83.8
42,E3131,contrerasangela@example.net,JdL9JJvQhA,Shawn Baker,2002-12-03,F,"Philadelphia, PA",Financial Advisor,51789.0,,,,,,200.19
43,E1430,newtoneric@example.com,M7Q1SrblrS,Michelle Harris,1995-08-15,M,"Chicago, IL",,86495.0,0.0,"mental_health,yoga",,,117.58,258.68
44,E3549,william40@example.org,kWNdRfrCQB,Sandra Williams,1997-11-30,M,"Philadelphia, PA",Data Analyst,89465.0,,"travel,adventure",,Gold,237.18,
45,E9149,kellie42@example.net,VBliyIToGJ,Michael Hoffman,,,"Philadelphia, PA",Data Analyst,82732.0,3.0,,,,,
46,E8155,jonesnicole@example.org,2gpBLzHfz3,Sandra Aguilar,,,"Philadelphia, PA",Software Engineer,,,,Dental,,,314.06
47,E8354,russellwilliams@example.com,R74KPONu3O,Rebecca Valencia,,F,"Omaha, NE",UX Designer,65342.0,,,Health,,179.67,
48,E4084,jason31@example.com,uMEGj9dCgZ,Stacey Russell,1995-09-14,M,,Project Coordinator,73797.0,1.0,"remote,eco",Vision,Bronze,,83.08
49,E5655,sarayoung@example.org,qU2Q96M3jv,,,F,,Project Coordinator,65288.0,2.0,"tech,gadget",,Platinum,,
50,E8967,whitesandra@example.com,moijes2YgG,Sharon Cochran,2004-07-25,M,,,56851.0,1.0,"active,fitness",Dental,Gold,,133.71
51,E8684,erik16@example.org,51mxR8KCDX,Courtney Velasquez,1996-07-25,F,"Fort Wayne, IN",Software Engineer,48419.0,2.0,"active,fitness",Disability,,,229.67
52,E2502,ybailey@example.org,86o0C4w7bA,,1999-04-05,F,,UX Designer,91838.0,,"remote,eco",Life,Silver,156.66,
53,E4533,michelle45@example.net,1jJ8UMHBhX,Meghan Anthony,,M,"Chicago, IL",Data Analyst,77756.0,0.0,,,Bronze,,
54,E6908,sheila14@example.org,e9HIGYGJby,Victoria Johnson,1988-12-22,,"Philadelphia, PA",Data Analyst,93034.0,0.0,"tech,gadget",,Gold,77.27,212.62
55,E3986,yreed@example.com,ZieTX8Dcsm,,1992-06-22,F,"Chicago, IL",Financial Advisor,47399.0,,"active,fitness",,,,
56,E4060,jonathanfletcher@example.org,FSFx7ZHrZf,Renee Mcdaniel,1989-10-08,M,,UX Designer,65086.0,,"travel,adventure",Health,Gold,147.43,
57,E7655,michaeljones@example.net,xGZVRk8bj2,Lisa Alvarado,2005-07-10,,"Omaha, NE",,55055.0,2.0,"active,fitness",,Gold,,
58,E7340,cortezkevin@example.com,6JhqXqTCnN,Erika Terry,,M,,Project Coordinator,50753.0,2.0,,,Gold,222.19,273.2
59,E9335,jamesortega@example.com,ohmYipYFbx,Stephanie Gilbert,1996-04-10,,,Marketing Associate,92111.0,3.0,,Vision,,,340.17
60,E3981,richard04@example.com,X9iBG63d1h,Richard Lawson,,F,"Fort Wayne, IN",Financial Advisor,,,"remote,eco",Health,Silver,,268.57
61,E6531,steven73@example.net,17Kc03bfc8,Steven Flynn,2000-12-07,M,"Hartford, CT",Data Analyst,86101.0,2.0,"tech,gadget",,,,
62,E6231,donnacampbell@example.net,U3wziWxGJg,Frances Cardenas,,,,Marketing Associate,,1.0,"family,wellness",Dental,Platinum,156.04,
63,E7442,emilywalker@example.org,GD9pnLwdds,Angel Riggs,2002-09-03,F,"Philadelphia, PA",UX Designer,,,,,Platinum,,396.18
64,E2946,gibsonolivia@example.net,igzxYvJ8xW,,2001-07-06,,,UX Designer,79034.0,1.0,"family,wellness",Life,Gold,166.98,221.45
65,E8780,dylanwatts@example.org,0bxvRhALtY,Colleen Brock,2003-06-07,Non-Binary,"Chicago, IL",,,,,Disability,,,
66,E9221,pwilliams@example.org,XN6E32VUdT,,1992-08-25,Non-Binary,"Hartford, CT",Software Engineer,,2.0,"tech,gadget",Vision,Silver,,379.52
67,E5735,stephanie79@example.net,TnSTFuEwJ7,Jessica Meadows,2004-03-08,M,"Chicago, IL",Marketing Associate,,2.0,"active,fitness",Life,,,
68,E2789,vmerritt@example.com,NVLppdQ5Ho,Paul Larsen,,F,"Philadelphia, PA",,81067.0,1.0,"travel,adventure",Dental,,204.39,81.31
69,E9767,katie87@example.net,VU27c66lA4,Jeremiah Reeves,1988-10-24,F,"Fort Wayne, IN",UX Designer,,0.0,,Disability,Silver,,
70,E8518,josephflores@example.net,PqTlaVvYsK,Chris Reyes,,Non-Binary,"Hartford, CT",Data Analyst,,1.0,,,Gold,111.53,54.0
71,E4871,jasminebrown@example.com,dQhDtkzRG7,John Brown,2003-10-12,,"Omaha, NE",,53753.0,3.0,"family,wellness",Disability,Silver,213.69,325.58
72,E9653,xprice@example.net,Txe6Khd1J5,Alicia Gilmore,2000-11-04,M,"Chicago, IL",,83217.0,3.0,,,Bronze,,
73,E1049,wwoods@example.com,VnLecBwSeI,Sarah Ashley,1989-07-19,,,Software Engineer,92794.0,3.0,"travel,adventure",,Silver,,238.04
74,E4648,vmedina@example.net,1aWbtDRUIB,Stephanie Freeman,,,"Fort Wayne, IN",Project Coordinator,47111.0,3.0,,,,211.45,
75,E8191,ryan06@example.com,oInW3XdiGs,,2004-05-28,Non-Binary,,Software Engineer,,,"family,wellness",Dental,Platinum,,
76,E9592,ncalhoun@example.net,uSAAjtylWI,James Elliott,1993-01-20,,"Hartford, CT",Financial Advisor,72296.0,1.0,,Health,,,143.96
77,E1647,millerroy@example.com,3emZWLUQJn,David Murphy,1995-06-20,,"Fort Wayne, IN",Data Analyst,94435.0,1.0,,Dental,,,141.55
78,E9147,wmurphy@example.com,DgZUEW1u6n,Trevor Fisher,,M,,Financial Advisor,,1.0,"travel,adventure",,,251.83,
79,E3756,ruizkaitlyn@example.org,UYwkiUIFl6,Mrs. Marie Harrington DDS,2002-05-24,,"Philadelphia, PA",,45418.0,,,,Bronze,210.02,
80,E1108,herringjames@example.org,IJAabHUrIs,,2003-08-26,,"Philadelphia, PA",,,,,,Silver,90.98,346.75
81,E1519,elliottjeffery@example.net,fzyyJEdOaS,,1999-03-18,Non-Binary,"Chicago, IL",Data Analyst,,,"active,fitness",Vision,,,
82,E7525,stricklandfrank@example.com,7etkKpK12y,Alexander Collins,2000-02-15,,"Philadelphia, PA",,,0.0,"family,wellness",Life,,103.8,
83,E7150,tsanders@example.org,BlRLQyfXNs,Michael Burton,,,"Fort Wayne, IN",UX Designer,,2.0,,,Platinum,,81.37
84,E6315,terrykevin@example.net,3yasAyXfU5,Barbara Riggs,1993-06-11,M,,UX Designer,,,"remote,eco",,Silver,163.87,
85,E1110,reedross@example.com,8zv1NyZ3vC,Matthew Smith,2002-08-08,M,"Chicago, IL",Software Engineer,56641.0,,"tech,gadget",Disability,,,89.86
86,E9939,gshort@example.com,lRXJb8UD8T,,2005-11-21,,"Hartford, CT",Software Engineer,,1.0,,,Platinum,279.34,
87,E6890,ryangross@example.net,S5ZIMO6fgX,,2002-11-28,Non-Binary,"Chicago, IL",Project Coordinator,,,,Disability,,135.61,256.01
88,E6651,umarshall@example.net,bEgsA69fh1,Samuel Rivas,1991-03-06,F,"Fort Wayne, IN",UX Designer,73715.0,3.0,,,Gold,,
89,E3858,ramirezshannon@example.com,JkvJB9DoZz,Mary Rogers,1992-03-06,F,"Chicago, IL",Marketing Associate,,,"tech,gadget",Health,,,
90,E6134,lrosales@example.com,MyNzLhww2D,Robert Peterson,2003-02-09,F,,Software Engineer,,1.0,"mental_health,yoga",Life,,161.4,371.71
91,E3838,angela83@example.org,JkFsilu1CN,,1996-01-20,,"Hartford, CT",Financial Advisor,71813.0,3.0,"travel,adventure",Health,,104.21,
92,E9115,hannahbrewer@example.com,JGhKhrXI0x,Alan Phillips,,Non-Binary,"Fort Wayne, IN",Data Analyst,87839.0,2.0,"active,fitness",Vision,,298.37,132.93
93,E6744,tholt@example.net,3TNOBkNiYn,Kara Schmidt,1989-05-01,,,Project Coordinator,,,"travel,adventure",Vision,Silver,,
94,E7434,jbarajas@example.com,FjKOrOAyCe,Jesse Parker,,Non-Binary,"Omaha, NE",Marketing Associate,45162.0,0.0,"travel,adventure",Vision,,,143.99
95,E6533,davidlee@example.org,JKiK2FYv5R,Tiffany Vaughn,,,"Fort Wayne, IN",Data Analyst,,1.0,,,,130.4,
96,E6005,javierwashington@example.net,USWoBPfTga,,,M,,Project Coordinator,52903.0,3.0,,,,,183.95
97,E3181,wallkenneth@example.com,PRjeHKaNPk,Adrian Ferguson,,,"Hartford, CT",Marketing Associate,50681.0,1.0,"family,wellness",Vision,Gold,96.9,136.86
98,E5668,brandon08@example.com,X8Sb22Q4tn,Beth Oneill,,,"Philadelphia, PA",Software Engineer,,0.0,"active,fitness",,,214.39,384.06
99,E1273,agarcia@example.net,Leaqnc7d8Y,John Peterson,1994-06-04,Non-Binary,"Hartford, CT",Data Analyst,80235.0,,"active,fitness",Dental,Silver,135.5,342.08
100,E2083,kingmichelle@example.org,tSBU92pdpf,Jennifer Jones,1990-08-08,,,,,2.0,,,Gold,61.88,
101,E9582,hernandezlisa@example.com,eqTKOeFDGx,,,,"Philadelphia, PA",Project Coordinator,59968.0,,,,,,331.09
102,E7870,yobrien@example.net,oupA6Uur0e,Joseph Hayes,1990-09-05,,"Chicago, IL",,75480.0,2.0,"family,wellness",,Gold,,390.15
103,E4201,levans@example.com,U5IWYpja7A,,2000-02-23,Non-Binary,,Project Coordinator,93370.0,,"mental_health,yoga",Health,Silver,55.12,364.05
104,E7102,mezajared@example.org,DVfLgGiO0z,,,Non-Binary,,UX Designer,70752.0,2.0,,,,,192.28
105,E4401,moorericky@example.net,CtDq2hfkZR,Doris Hall,2003-10-21,,,,,0.0,"remote,eco",,Platinum,180.11,
106,E3290,jacqueline71@example.net,had1Xoim0z,Dennis Moody,2002-02-19,M,"Omaha, NE",,,3.0,"active,fitness",,,,
107,E7270,ronaldstephens@example.net,RBlwn6lrrC,Derek Thomas,1988-10-10,,"Omaha, NE",Financial Advisor,,1.0,"tech,gadget",,Bronze,,
108,E9231,martinkyle@example.net,uyrlbuMob5,Tammy Gonzales,,F,"Chicago, IL",,,0.0,"mental_health,yoga",,,189.98,294.17
109,E1462,sbarker@example.com,TSw8KKjK8m,Kathryn Snyder,1999-01-15,M,,,79501.0,2.0,"mental_health,yoga",Vision,,69.88,
110,E9622,georgepamela@example.net,3x9exT8QzL,,1994-10-08,M,"Hartford, CT",Marketing Associate,56416.0,,"family,wellness",,,226.78,
111,E1530,keyemily@example.com,lMu6Z9NoOK,,,,"Omaha, NE",Software Engineer,50814.0,2.0,,,Bronze,,
112,E7783,lmoon@example.net,F4ywIyg1EY,Robert Costa,2002-08-07,,"Philadelphia, PA",Data Analyst,,,"mental_health,yoga",Dental,,296.02,
113,E3703,vbailey@example.com,M4BkdgvnmA,Shannon Rivera,2004-03-11,,,,82471.0,,,,,,
114,E2892,zroberts@example.net,tYzEF5QqfP,Brandon King,1992-02-23,F,,Marketing Associate,59827.0,,"tech,gadget",Health,Platinum,189.23,344.28
115,E7858,cordovarichard@example.net,9IR37EK4pE,April Booth,1996-11-08,,"Chicago, IL",Financial Advisor,,,"mental_health,yoga",,,,
116,E5225,mgutierrez@example.net,u6U6ZefyJz,Peter Garrett,1994-03-12,M,"Chicago, IL",,,0.0,"family,wellness",Vision,Gold,101.32,
117,E3821,harrisandrea@example.com,rzjNMRSzcz,Michael Martinez,1995-06-08,M,"Omaha, NE",Data Analyst,,3.0,,,Platinum,116.63,
118,E8237,jennifercollins@example.org,n60AVFWH3x,Anna Gay,1999-07-23,M,"Chicago, IL",Financial Advisor,,1.0,,Health,,252.35,
119,E1500,murraydavid@example.org,pxFMCl93EL,Dr. Jordan Hill PhD,,F,,,82503.0,1.0,,,Platinum,263.45,
120,E3167,jsanchez@example.org,PlMZaoqMZ8,Thomas Romero,2003-11-29,F,"Omaha, NE",Software Engineer,89380.0,3.0,"active,fitness",Vision,,,395.93
121,E5536,michellehill@example.com,qPT85PtmjH,Richard Adams,1989-04-10,Non-Binary,"Omaha, NE",,77595.0,2.0,"travel,adventure",Health,,222.61,
122,E6873,campbellkenneth@example.net,Gt2k1Q4Jls,,1990-11-14,Non-Binary,"Fort Wayne, IN",UX Designer,,2.0,"remote,eco",,,263.93,
123,E4187,wryan@example.com,Gh3RyHtAd3,Kimberly Gibson,1991-01-30,F,"Chicago, IL",,,0.0,"tech,gadget",Vision,,86.53,
124,E2442,molly39@example.com,iNBOBzB9Ey,,,F,"Omaha, NE",,,,"remote,eco",,,,151.79
125,E9587,zthornton@example.com,vB4Riv5FwW,,,M,,Data Analyst,,0.0,,Disability,Bronze,,
126,E7230,tylerjohnson@example.net,hJqESjnSRO,,1997-06-09,Non-Binary,"Chicago, IL",Software Engineer,51875.0,,"active,fitness",,Gold,,
127,E9980,dgarcia@example.org,F6nS7Evpaa,Jennifer Pena,1990-06-23,Non-Binary,"Philadelphia, PA",Data Analyst,51638.0,1.0,,,Silver,,
128,E2898,charlesharrington@example.com,g2W4ca2iQP,,1996-01-07,,"Philadelphia, PA",,71265.0,,"travel,adventure",Life,,,
129,E7816,melissa86@example.com,6LEZKRClNy,Stacy Freeman,,Non-Binary,"Fort Wayne, IN",,71953.0,,,Disability,Silver,,233.09
130,E2560,williamsonjimmy@example.net,BQUpEwQRPy,,2000-07-09,,"Fort Wayne, IN",Marketing Associate,,3.0,"remote,eco",Health,,,
131,E9166,wgood@example.net,CuhFVPbgzA,,,M,"Chicago, IL",Financial Advisor,87899.0,2.0,"active,fitness",,Platinum,,84.1
132,E1035,rebecca05@example.org,vw1O9ZsJHx,James Thomas,1989-01-10,,,,52913.0,,"mental_health,yoga",Health,Bronze,256.12,
133,E9260,yknight@example.org,i9FaHVdJ7B,Bob Pitts,1998-10-31,M,"Fort Wayne, IN",,88091.0,2.0,"travel,adventure",Disability,,290.17,
134,E7762,tyleraguilar@example.org,MS4VGt1SJ3,David Scott,2004-07-11,,"Fort Wayne, IN",UX Designer,,1.0,"tech,gadget",Health,Platinum,284.52,285.99
135,E9747,nolansteven@example.com,s42BZaHgby,,,F,"Fort Wayne, IN",Project Coordinator,49065.0,,,,Silver,,324.51
136,E5712,vanessa46@example.net,SQd7yyA9YR,Ryan Gonzalez,,,"Chicago, IL",Marketing Associate,86535.0,2.0,"family,wellness",Dental,,77.9,
137,E9418,gcastaneda@example.org,hycBrJqikL,Ian Phillips,1988-02-16,Non-Binary,,UX Designer,85984.0,2.0,"family,wellness",Health,Gold,288.39,
138,E9897,andrew64@example.org,Izfwo4nQvv,Melissa Garner,1992-11-24,Non-Binary,"Chicago, IL",,,1.0,"family,wellness",Dental,,,139.81
139,E1404,lozanojulie@example.com,6H0XxGZGCF,,,,,Financial Advisor,,1.0,"travel,adventure",Dental,Platinum,283.73,
140,E6434,danaoliver@example.net,cfedlYqJeK,Patricia Becker,1993-10-19,F,"Hartford, CT",Marketing Associate,,0.0,,,,215.19,148.53
141,E7249,courtneyberger@example.net,z0QbEkIoiV,Richard Johnson,2005-11-19,F,,Project Coordinator,45730.0,,"active,fitness",Life,,232.04,
142,E9397,jessica14@example.com,jkloN1qmhl,Casey Anderson,2000-09-21,Non-Binary,,,,3.0,,,Bronze,,
143,E3496,alyssa42@example.com,KKxZu9Bkau,,1992-12-19,Non-Binary,,Project Coordinator,76454.0,2.0,"travel,adventure",Dental,Bronze,,
144,E2252,julie51@example.com,Ue5b2GOb0L,Brenda Levy,2005-04-02,M,"Chicago, IL",Financial Advisor,,1.0,"family,wellness",,,165.59,346.79
145,E3717,zcoffey@example.net,WGiCklK8KQ,Richard Smith,1991-04-12,F,,,,0.0,"family,wellness",,Platinum,40.77,86.13
146,E5480,gibsonemily@example.net,1VqLIKlyPy,James Little,2002-08-27,M,"Hartford, CT",Software Engineer,68127.0,2.0,"travel,adventure",Health,,92.1,
147,E3578,daniel37@example.org,xMT0hQoAZv,Terri Murphy,1998-10-19,,"Fort Wayne, IN",,,,,,,78.61,259.78
148,E1305,deborahreid@example.com,4UUQ0s8fnC,Elizabeth Ortiz,1998-07-28,,"Hartford, CT",Financial Advisor,56919.0,,"tech,gadget",Life,,,120.82
149,E9263,brandonjohnson@example.com,RA0jMglE5N,David Medina,2005-07-31,,"Fort Wayne, IN",Financial Advisor,89470.0,3.0,"active,fitness",,Platinum,132.93,309.49
150,E2600,qchavez@example.net,BiqEXo62fs,Kimberly Matthews,2000-03-12,,"Philadelphia, PA",Data Analyst,69577.0,2.0,,,Platinum,195.21,
151,E8904,nicolepena@example.com,lxJJEqtKwX,Teresa Ramirez,,,"Fort Wayne, IN",Project Coordinator,,3.0,"family,wellness",,Bronze,,
152,E5310,jeff73@example.com,oxfMcUy7zN,Michael Stephens,1994-06-04,,"Fort Wayne, IN",,88049.0,,"family,wellness",Dental,,206.86,
153,E7544,bruce43@example.org,wQzzLmHaVT,,1990-01-08,Non-Binary,"Chicago, IL",,57748.0,3.0,,,Bronze,,
154,E9813,darleneharper@example.org,0YKqSC9yKE,Gavin Zhang,2004-12-27,F,"Chicago, IL",,,1.0,"mental_health,yoga",Life,Bronze,,189.63
155,E6603,caseyhubbard@example.org,eJ7lEuwn5K,Robin Hall,2004-09-25,M,,Software Engineer,,1.0,,,Bronze,209.12,317.49
156,E1692,kristinacarlson@example.com,2ExNuF545K,Brianna Anderson,,,"Fort Wayne, IN",,72733.0,0.0,"travel,adventure",,Bronze,154.22,
157,E2650,lauren10@example.org,uxN3qlJqpr,Richard Young,2001-10-01,M,"Fort Wayne, IN",UX Designer,,1.0,"family,wellness",Health,Silver,,330.01
158,E8749,alfred40@example.org,ZalAFi52OH,Kelly Reese,1995-01-30,,,Data Analyst,,2.0,,,Gold,,
159,E4259,xwest@example.net,KKPPIlXswu,Jodi Walker,1998-12-07,F,"Hartford, CT",Marketing Associate,54492.0,2.0,"family,wellness",,,,143.62
160,E5444,acostaregina@example.net,4CX38xVLH9,Judith Maynard,,,"Fort Wayne, IN",Project Coordinator,,,"active,fitness",Life,Bronze,171.48,86.37
161,E2381,lutzmelanie@example.com,P74ytopVsC,Katherine Browning,1990-12-11,,"Omaha, NE",UX Designer,75617.0,2.0,"mental_health,yoga",,Platinum,201.68,233.21
162,E6073,lammarc@example.org,6wEIoZfCtx,Donald Schultz,1991-06-29,M,"Fort Wayne, IN",Marketing Associate,90073.0,,"travel,adventure",,Bronze,80.91,
163,E7385,oscar98@example.com,1yoqfBOpHW,Larry Garcia,2001-10-02,,"Chicago, IL",,,,"travel,adventure",Vision,,,
164,E2675,farrelldebra@example.net,sriTCUaofj,,1992-11-14,F,"Hartford, CT",Marketing Associate,,,,,Gold,,
165,E8257,robertwilcox@example.com,pVcmDVXgHQ,Brandon Simmons,1998-08-09,F,"Fort Wayne, IN",Data Analyst,81017.0,2.0,,Health,Silver,,55.27
166,E2960,nicholas27@example.org,zYpacLYSES,Bradley Reynolds,1996-04-30,,"Philadelphia, PA",UX Designer,94778.0,0.0,"mental_health,yoga",,,180.75,171.56
167,E4161,lisa80@example.net,bSywUiq5cF,Kristina Santiago,2000-07-15,Non-Binary,,UX Designer,,,"mental_health,yoga",Vision,,,
168,E6965,qgomez@example.com,XNpuUeQ9I0,Michelle Schmitt,1999-10-03,,"Omaha, NE",Project Coordinator,51308.0,,,,,38.59,
169,E5193,michael98@example.org,dxoMTea76n,John Boone,1989-10-17,,"Chicago, IL",Marketing Associate,,2.0,,,Silver,56.22,
170,E9621,megan51@example.com,QpKO8lJVJA,Renee Bruce,2005-03-09,F,"Hartford, CT",Software Engineer,81042.0,2.0,"family,wellness",Life,Gold,299.15,194.32
171,E6299,lynchdiane@example.net,MpKInyXJ7V,Christopher Park,1998-02-23,,"Philadelphia, PA",,53852.0,,,,Gold,168.04,
172,E8542,sandra50@example.org,wjiqx4Lpoq,Kylie Morales,1990-01-22,Non-Binary,"Philadelphia, PA",,90193.0,0.0,,,Bronze,120.29,202.01
173,E2974,joycebonilla@example.org,3XoVP2M7aO,Cindy Barnes,,,"Chicago, IL",UX Designer,,3.0,"family,wellness",,Gold,,216.55
174,E9980,eric45@example.net,zqfzGBXSiW,,,F,"Fort Wayne, IN",Project Coordinator,,3.0,,,,123.02,
175,E6729,craigjoseph@example.net,N0ZCNjCc70,,2003-05-16,Non-Binary,"Philadelphia, PA",Software Engineer,54678.0,,"tech,gadget",,,,241.25
176,E9991,kariwilson@example.com,ENUjSSQbyL,Michael Watkins,,,"Fort Wayne, IN",Financial Advisor,75471.0,,,Vision,,,392.93
177,E2631,brandon69@example.org,5uF3MIflmG,Eric Clark,2000-07-29,,"Chicago, IL",Marketing Associate,,2.0,,,Bronze,267.24,
178,E5590,kathrynroberts@example.org,ojv5zQifUy,Paul Thompson,2003-03-17,Non-Binary,,Software Engineer,65472.0,2.0,,Dental,Silver,113.43,
179,E3378,opatel@example.net,P7K6kueJI8,Mary Gomez,1992-02-17,M,"Omaha, NE",Marketing Associate,64880.0,,,,Gold,195.34,
180,E2302,chensley@example.com,SXEiG2METP,Thomas Atkins,1996-09-09,,,Data Analyst,,1.0,,Life,Platinum,264.03,199.64
181,E7232,tberry@example.net,UuzN8VKMIH,Brian Smith,2003-10-17,,"Hartford, CT",Data Analyst,61103.0,3.0,"active,fitness",Disability,,148.68,
